,Price,Close,High,Low,Open,Volume,MACD,MACD_Signal,BB_High,BB_Low,BB_Width,ADX,Stoch_K,Stoch_D,Lag_1,Lag_3,Lag_5
51,2023-09-05,2450.050048828125,2490.0,2440.35009765625,2477.949951171875,578274,-29.941349532107324,-30.048548235049367,2571.754536777116,2398.1504192775715,173.60411749954437,24.025496408627145,41.4903786120572,36.30322023281861,-0.00215857153453769,0.00618071820456878,-0.014223004306988973
52,2023-09-06,2461.89990234375,2473.0,2440.0,2460.0,822724,-28.0256999523981,-29.643978578519118,2560.136262787613,2399.9486737358243,160.18758905178856,23.636136873479053,51.93999388571453,46.5315065111399,0.004836576102309698,0.009430481332135532,0.002851440090619217
53,2023-09-07,2446.60009765625,2473.75,2441.0,2461.0,368692,-27.425950941060364,-29.20037305102737,2537.247982217737,2408.741959188513,128.5060230292238,23.252768810169062,38.44809100812511,43.959487835298944,-0.006214633126608637,-0.0035636465888723157,0.0047639004748460945
54,2023-09-08,2473.5,2509.0,2449.5,2470.0,797367,-24.497654509415952,-28.25982934270509,2522.7498350778646,2415.5550965627604,107.19473851510429,21.922279591831845,62.16936570747019,50.85248353376994,0.01099480964196764,0.009571213119948796,0.014186764132057883
55,2023-09-11,2500.85009765625,2508.85009765625,2477.14990234375,2490.0,675723,-19.74245544641053,-26.55635456344618,2519.725373135473,2417.0745780364023,102.65079509907082,20.68682531766157,86.28763837876707,62.301698364787455,0.011057245868708376,0.015821193735545025,0.01853096226213613
56,2023-09-12,2493.14990234375,2515.0,2464.10009765625,2510.0,968871,-16.406147482416145,-24.526313147240174,2503.325164882462,2427.8797667581625,75.44539812429957,19.861104764971106,79.49733684115344,75.98478030913023,-0.0030790311341397647,0.019026323399599754,0.01759141758603655
57,2023-09-13,2447.300048828125,2482.0,2435.050048828125,2458.0,1188056,-17.262804514921754,-23.073611420776494,2503.493286921364,2426.5766593676985,76.91662755366542,19.754069147451812,39.553615025111604,68.44619674834404,-0.01839033163329762,-0.010592258407873478,-0.005930319710287901
58,2023-09-14,2464.64990234375,2482.0,2436.800048828125,2459.800048828125,1249199,-16.35321353897234,-21.729531844415664,2503.662845639583,2426.8970908838546,76.76575475572827,19.654678931183895,55.0445556640625,58.031835843442515,0.007089385514429614,-0.01447515600652205,0.007377505095659487
59,2023-09-15,2391.449951171875,2465.800048828125,2383.0,2463.0,2527706,-21.293521972791496,-21.642329870090833,2512.135528207396,2412.139398550417,99.99612965697906,20.607240282576623,6.401478160511363,33.666549616561824,-0.029699938763012912,-0.040791751461181414,-0.03317163890362851
60,2023-09-18,2400.550048828125,2415.0,2390.0,2405.0,590695,-24.195539058358463,-22.15297170774436,2516.278518449676,2403.086422956574,113.19209549310199,21.4917615374413,13.295491536458334,24.913841787010735,0.0038052636860708144,-0.01910268421004857,-0.04010638179478421
