,Price,Close,High,Low,Open,Volume,MACD,MACD_Signal,BB_High,BB_Low,BB_Width,ADX,Stoch_K,Stoch_D,Lag_1,Lag_3,Lag_5
64,2023-09-25,1782.4464111328125,1787.3410708569832,1754.8766528065305,1762.0687212615026,2226567,-6.173750738427543,-5.334533779433377,1826.3582059686287,1742.47527791809,83.8829280505388,20.47315723897856,39.2940636071936,17.078362352521342,0.015912798122323712,-0.0028220752059413545,-0.016263338345953837
65,2023-09-26,1762.1685791015625,1779.84927370325,1751.7799409869551,1774.1554410945714,3656167,-7.472770393975225,-5.762181102341747,1826.0946259723598,1740.1167265667025,85.97789940565735,19.743686971624516,15.411642028392158,20.37245806889238,-0.01137640486950886,0.004784384268670117,-0.019045248442608576
66,2023-09-27,1763.217529296875,1769.1609664323066,1748.084091205675,1762.0687639353202,3004206,-8.32168412112901,-6.274081706099199,1826.063190657133,1738.355132096773,87.70805856035986,19.241415295005996,17.616302788852273,24.107336141479333,0.0005952609799950714,0.004953216376303304,-0.013579546715608903
67,2023-09-28,1731.3023681640625,1769.9600708757548,1727.1070152821724,1760.2706176974245,8263197,-11.437892241361169,-7.306843813151593,1829.1876675959204,1731.0652132634548,98.12245433246562,19.66708996319534,3.9251845687612916,12.317709795335231,-0.01810052395834527,-0.02869317284902051,-0.012815456699641459
68,2023-09-29,1733.7996826171875,1742.0906444359018,1731.0526933556057,1742.0906444359018,3571729,-13.549803521734248,-8.555435754868125,1831.1512483382166,1726.7991544938145,104.35209384440213,20.06235929794259,6.261679359715448,9.267722239109661,0.0014424484706119234,-0.01609885502489139,-0.011813608560722999
69,2023-10-03,1725.1593017578125,1733.1005494489184,1713.5719037049548,1728.106023369815,5534869,-15.73928230258366,-9.992205064411232,1833.8973116308903,1719.652932509735,114.24437912115536,21.078443285715583,9.622641601946341,6.603168510141018,-0.004983494313675396,-0.021584533335622602,-0.03213959702642155
70,2023-10-04,1720.1646728515625,1725.1092045996345,1707.1289117896788,1713.1223427263305,6220979,-17.673752800869124,-11.52851461170281,1836.6837047462775,1712.8559436912226,123.8277610550549,22.23786703738546,10.275621374230438,8.719980778630733,-0.002895169681524923,-0.006433131218038346,-0.023836485764270998
71,2023-10-05,1732.351318359375,1745.0873594774848,1719.265684813592,1728.105971320005,2966801,-18.015799244192067,-12.825971538200662,1837.5327450483571,1708.3309268266428,129.20181822171435,22.00849573704078,20.570298190419706,13.489520388865486,0.007084580738197843,-0.0008353700097730732,-0.017505617103187876
72,2023-10-06,1741.99072265625,1745.0873042466876,1728.305648882815,1733.4001627181556,1992323,-17.30952076733888,-13.722681384028306,1837.5952177775312,1705.6313325154374,131.96388526209375,21.795508101006426,30.493670515338078,20.44653002666273,0.005564347251459267,0.009756444451991975,0.006173592024553143
73,2023-10-09,1717.417724609375,1731.9018497182003,1715.1701879545574,1728.105961259841,1839513,-18.51914834884451,-14.681974776991547,1837.737899954564,1698.5262846157484,139.2116153388156,22.13086674523557,10.000083236344302,20.354683980700685,-0.014106273774756484,-0.0015969100432889904,-0.009448587499499284
