Price,Close,High,Low,Open,Volume
Ticker,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS,TATACONSUM.NS
Date,,,,,
2023-06-26,856.2042846679688,859.6289154437169,841.6124191361678,847.7171983705938,3022935
2023-06-27,847.915771484375,861.7134746026153,846.3275061289665,857.5940419758638,1131450
2023-06-28,848.6602172851562,853.673052745097,844.7392649838112,848.2135157798668,914411
2023-06-30,854.5664672851562,857.1969351431264,843.7962533204008,843.7962533204008,1394632
2023-07-03,852.531494140625,860.5719395262859,850.1491870748237,860.5719395262859,1226135
2023-07-04,849.2557983398438,855.3605776842368,845.930468164814,852.3330283241738,759030
2023-07-05,839.6768188476562,854.9138661314852,834.9617641433026,852.6804191662651,2537154
2023-07-06,838.8330688476562,841.3146766843668,835.2099577577362,839.6768518638152,2363769
2023-07-07,827.119873046875,846.2282529522483,825.6805284172967,838.8330496508653,1811594
2023-07-10,819.5758056640625,835.3091746781544,815.9526340884645,835.3091746781544,1177214
2023-07-11,834.1179809570312,836.7981294318676,819.6750360360197,819.9231968098726,2167322
2023-07-12,837.0463256835938,841.5628398419212,832.6290516045631,838.7338311345428,1435731
2023-07-13,831.189697265625,842.7540139171969,829.0555508965458,840.7687276653307,985928
2023-07-14,845.235595703125,846.476399572331,827.4672600616445,832.7779369735221,1705168
2023-07-17,846.3275146484375,854.3679604124435,843.1014244521328,848.8091224917488,1200820
2023-07-18,852.3826293945312,856.6509825437465,842.2080377710395,847.915735511047,1412514
2023-07-19,854.1198120117188,858.5867061944432,848.1143330610597,858.5867061944432,952601
2023-07-20,866.6766967773438,868.5627429679543,848.2631787436488,853.6730959456464,1381298
2023-07-21,846.079345703125,869.9524613944114,843.349577101813,867.2723128322612,1230534
2023-07-24,856.750244140625,860.6215765046818,842.654760445321,847.7172160726624,1149904
2023-07-25,862.16015625,863.1031793164498,849.7024974064186,856.7502392135398,873678
2023-07-26,867.4708251953125,877.4468761856015,863.1527913791903,867.520445232851,1940116
2023-07-27,843.7962646484375,873.5259379492776,841.4635775713193,869.5057454657137,3203072
2023-07-28,853.02783203125,854.0701557652696,835.8054983135162,847.9653764065573,2365708
2023-07-31,852.9782104492188,854.5167951491445,846.2282494331359,853.0278304873854,1454789
2023-08-01,850.447021484375,856.9488220204582,846.8238497408271,855.5591579576884,987812
2023-08-02,836.8477783203125,848.7098758366587,832.0334833760413,848.7098758366587,1604731
2023-08-03,829.2540893554688,835.4581088754668,826.4250201026728,833.820223487736,1375222
2023-08-04,828.658447265625,835.40840822435,826.1768395171138,830.891894239285,887582
2023-08-07,831.6364135742188,834.4654828850997,823.3974875997294,830.7926911366274,1106208
2023-08-08,841.2153930664062,846.8237901354198,827.6161707078645,832.8275468952304,1252297
2023-08-09,853.8716430664062,856.1050901364315,841.4139837486028,844.7393140406331,1704615
2023-08-10,844.2926025390625,856.8495623744805,841.7613746734847,854.8146560741582,941390
2023-08-11,830.7430419921875,847.5682942175068,828.8569958510097,843.4488616676482,909080
2023-08-14,838.4856567382812,839.6768406011506,823.5463898788917,832.6786581265912,754694
2023-08-16,834.5150756835938,837.2448442393301,830.6437433155531,834.7136164230546,360863
2023-08-17,838.0389404296875,839.7264458234666,828.8569917190276,828.8569917190276,1105325
2023-08-18,836.3514404296875,842.7043805697823,829.3533186196021,838.7834281670422,1145798
2023-08-21,842.2576904296875,843.1510934754372,834.6143262602419,839.7760826205251,680778
2023-08-22,842.5554809570312,845.2852495785606,837.7908060257693,840.7687354310741,782931
2023-08-23,838.3367309570312,841.7613618222364,834.1676177553088,841.7613618222364,516482
2023-08-24,837.9893188476562,848.5113114946821,835.9047319817254,838.7834212120517,1482572
2023-08-25,826.4249877929688,839.9249700923694,824.0426807421045,833.820190888911,1149261
2023-08-28,835.6069946289062,836.7485584900606,822.1566920141174,826.3754254171479,649996
2023-08-29,832.0830688476562,837.7411465687367,829.849621898766,834.8128373407443,606053
2023-08-30,842.1087646484375,843.051787727458,832.5297949145129,834.8128619679487,604884
2023-08-31,828.2117309570312,845.185964005266,822.9507347414046,842.1087341004132,2025392
2023-09-01,837.939697265625,841.1657873412647,826.8717024639793,826.8717024639793,661741
2023-09-04,839.82568359375,842.7539928593086,830.8422756457495,837.790777353659,705024
2023-09-05,840.0738525390625,846.1290118665198,836.8477624290153,840.7687148338366,745626
2023-09-06,872.43408203125,876.5038946803651,839.2797768428637,839.5775576683378,3618782
2023-09-07,852.3826293945312,860.5719348475857,847.7171947767782,859.3311309910622,3458930
2023-09-08,846.8237915039062,858.4873477516213,845.4837475737255,857.6436253638965,901217
2023-09-11,856.25390625,858.5866538660374,848.4616822183909,849.2061645368043,1039583
2023-09-12,858.3881225585938,867.5700712532073,849.7024954150405,860.6215695383646,1795152
2023-09-13,882.7575073242188,884.6931735097123,853.821996963067,855.658362485691,2812359
2023-09-14,878.04248046875,891.0957620402721,874.5186094265387,888.4156134355869,2205160
2023-09-15,869.4561157226562,883.2041984263396,867.0737480476624,881.0203714886164,1104866
2023-09-18,874.468994140625,879.4322098851247,869.4561583559063,876.5039004786439,1084407
2023-09-20,863.3017578125,874.4193731857764,858.6363229003243,874.3200725193125,924868
2023-09-21,864.5921630859375,867.5700924651084,854.8642725645384,862.606876833157,1165593
2023-09-22,871.29248046875,883.3034377366313,863.6491164864043,864.5921395480276,1518828
2023-09-25,893.974365234375,898.9375808099292,864.1454517425196,875.4616074892343,2700627
2023-09-26,888.6141357421875,903.2060017661233,884.9413440702117,900.9228741145383,2064298
2023-09-27,882.310791015625,897.3493581437456,880.3751854487072,892.3861426672868,1233749
2023-09-28,870.0516967773438,889.4082376640046,863.6987565595782,888.2170537999075,1801983
2023-09-29,870.4487915039062,879.3825797413622,867.2723213466961,879.3825797413622,817204
2023-10-03,865.4855346679688,873.0792179570964,857.7428700947194,863.5994885619463,1183376
2023-10-04,858.3881225585938,863.4505781449569,848.7098523129201,860.6215695383646,623081
2023-10-05,853.8716430664062,862.8550513863928,851.1914944651502,859.67858121402,749977
2023-10-06,868.3145751953125,871.0443437940975,854.665732201388,854.665732201388,960117
2023-10-09,874.1712036132812,877.3476131856115,860.4230598018902,861.6142436845786,1200788
2023-10-10,882.2115478515625,885.8347193711418,875.2630462088498,878.4891362572521,870512
2023-10-11,881.8641967773438,890.599444361128,879.6803697348653,888.4156173186495,1062565
2023-10-12,885.7850341796875,887.571840204643,876.7023862880848,882.3604639994833,775364
2023-10-13,906.6305541992188,911.2463688641907,882.3107981674402,883.700522746564,5120134
2023-10-16,901.91552734375,911.047856294037,899.3842994692034,911.047856294037,1524935
2023-10-17,901.1710205078125,921.1728033494745,898.4909325876587,905.3401336746799,3228492
2023-10-18,889.1104736328125,908.2684741395129,885.5369219730451,905.7372462468418,1218914
2023-10-19,888.8126831054688,893.775898756971,872.5829315733794,889.4082447491976,1430475
2023-10-20,892.3365478515625,895.1655565186552,882.1123357982963,885.3880459881215,2295312
2023-10-23,876.6030883789062,899.3842594073268,873.7740798073913,892.1379769689213,973113
